employee_id,_programming_languages,_fields
1, c#, app building
 2, sql, cyber
 3, sql, cyber
 4, c#, app building
 5, c++, machine learning
 6, python, cyber
 7, sql, app building
 8, python, machine learning
 9, c++, machine learning
 10, c++, app building
 11, python, machine learning
 12, c#, machine learning
 13, python, machine learning
 14, sql, app building
 15, c#, machine learning
 16, sql, cyber
 17, python, machine learning
 18, sql, machine learning
 19, python, app building
 20, sql, machine learning
 21, python, cyber
 22, c++, cyber
 23, sql, machine learning
 24, c#, cyber
 25, python, cyber
 26, c#, cyber
 27, python, machine learning
 28, c++, cyber
 29, sql, machine learning
 30, c#, cyber
 31, sql, app building
 32, c++, cyber
 33, c#, app building
 34, c++, cyber
 35, c#, machine learning
 36, c#, machine learning
 37, c++, cyber
 38, c++, machine learning
 39, python, machine learning
 40, c#, cyber
 41, sql, machine learning
 42, c++, machine learning
 43, python, app building
 44, python, cyber
 45, sql, cyber
 46, c#, cyber
 47, sql, app building
 48, c++, cyber
 49, sql, cyber
 50, python, machine learning
 51, c++, machine learning
 52, python, cyber
 53, c#, app building
 54, c++, app building
 55, python, cyber
 56, sql, app building
 57, c#, cyber
 58, python, cyber
 59, c++, app building
 60, c#, app building
 61, python, machine learning
 62, sql, app building
 63, sql, cyber
 64, c++, app building
 65, c++, cyber
 66, python, app building
 67, sql, cyber
 68, python, app building
 69, c++, cyber
 70, python, cyber
 71, sql, machine learning
 72, sql, cyber
 73, sql, cyber
 74, python, machine learning
 75, c#, app building
 76, python, machine learning
 77, c++, cyber
 78, python, app building
 79, c++, machine learning
 80, c#, cyber
 81, c#, app building
 82, c#, machine learning
 83, python, machine learning
 84, python, app building
 85, c++, app building
 86, python, machine learning
 87, python, cyber
 88, python, app building
 89, c#, machine learning
 90, c#, app building
 91, c++, app building
 92, c#, machine learning
 93, c++, app building
 94, c#, cyber
 95, c#, app building
 96, python, cyber
 97, sql, machine learning
 98, python, machine learning
 99, c++, cyber
 100, c#, app building
